Donor Name,Food Type,Quantity (kg),Location,Donation Date,Transport Mode,Donor Type,Donation Frequency (per month),Average Donation Duration (hours)
Marshall Ltd,Frozen Food,61.53,Coopertown,2024-01-29,Van,Farm,9,3.0
"Moore, Lloyd and Estrada",Dairy,65.67,Juanside,2024-02-06,Bike,Restaurant,5,1.4
"Wilson, Williams and Phillips",Dairy,15.31,Nixonfurt,2024-01-13,Bike,Farm,7,1.3
Pratt PLC,Bakery,33.24,Thomasberg,2024-05-10,Walk,Grocery Store,9,0.8
Reid-Douglas,Bakery,13.85,North Jefferytown,2024-08-31,Truck,Grocery Store,7,2.5
Cooke Inc,Vegetables,48.92,West Gabrielleview,2024-06-21,Walk,Food Bank,1,2.0
Hamilton PLC,Meat,69.0,Arthurburgh,2024-09-29,Drone,Supermarket,3,2.2
"Mcintosh, Ortiz and Daniels",Grains,13.38,Samueltown,2024-03-02,Van,Farm,8,2.6
Jennings Group,Meat,48.89,Lake Brittanymouth,2024-07-15,Bike,Food Bank,8,0.7
Diaz LLC,Grains,63.13,East Michelleburgh,2024-07-29,Drone,Supermarket,4,2.5
Roberts and Sons,Dairy,30.3,Nathanielland,2024-01-09,Truck,Food Bank,8,2.3
Grimes-Patel,Snacks,40.75,New Melissaview,2024-04-23,Walk,Grocery Store,4,1.8
Barber-Hernandez,Frozen Food,80.35,Mcfarlandport,2024-02-19,Bike,Food Bank,9,2.5
"Johnson, Jones and Taylor",Grains,36.96,Williamsside,2024-02-01,Bike,Supermarket,9,0.7
Patel Ltd,Meat,41.72,Jeanfort,2024-06-11,Truck,Restaurant,8,2.2
"Oconnor, Newton and Miller",Snacks,84.93,Wiseview,2023-11-15,Drone,Food Bank,3,0.9
"Butler, Roberts and Sexton",Dairy,34.45,Walterfurt,2024-05-14,Walk,Food Bank,3,2.2
"Acevedo, Alvarado and Wood",Bakery,13.27,West Aimeechester,2024-02-10,Van,Farm,3,0.8
Douglas-Meadows,Dairy,31.36,Walkerborough,2023-11-27,Truck,Farm,8,1.9
"Smith, Jenkins and James",Dairy,19.49,Douglasfort,2024-03-13,Bike,Restaurant,4,2.2
Parker Group,Meat,72.69,Williamstad,2024-05-14,Van,Farm,3,1.6
Mccann Group,Frozen Food,67.91,North Melissafurt,2024-04-19,Van,Grocery Store,7,1.8
"Brown, Salazar and Webb",Frozen Food,21.98,Alexanderchester,2024-03-24,Walk,Grocery Store,5,2.6
Bailey-Macias,Fruits,92.77,Jessicashire,2024-04-25,Truck,Supermarket,5,0.6
"Simpson, Miranda and Wong",Vegetables,21.3,North Peter,2024-08-27,Van,Restaurant,6,0.5
"Ross, Frye and Thompson",Canned Goods,59.28,Lake Alison,2023-12-19,Walk,Restaurant,8,1.2
Smith LLC,Vegetables,34.6,Reynoldsview,2023-11-15,Walk,Farm,7,0.9
Johnson LLC,Snacks,21.12,South Kathymouth,2024-09-12,Walk,Food Bank,6,1.0
Anderson Inc,Frozen Food,31.19,Thomasmouth,2024-03-20,Truck,Restaurant,2,0.7
"Coleman, Foster and Thomas",Grains,61.65,Port Brad,2024-07-29,Van,Grocery Store,1,1.9
Massey-Lewis,Meat,48.82,Penahaven,2024-02-03,Truck,Food Bank,6,1.2
"Hughes, Jensen and Gill",Dairy,47.63,North Justin,2024-07-17,Van,Restaurant,3,1.3
Hill LLC,Dairy,17.62,Kristenmouth,2024-04-17,Walk,Grocery Store,3,1.4
"Schmidt, Solis and Ramos",Fruits,39.34,Thompsonland,2023-12-01,Truck,Restaurant,6,2.5
Martinez and Sons,Vegetables,51.46,Carrillofort,2024-05-26,Walk,Food Bank,2,1.5
Deleon-Reese,Meat,25.35,Hicksborough,2023-12-20,Drone,Restaurant,8,1.9
"Crosby, Perez and Robinson",Grains,97.71,Derrickmouth,2024-03-18,Bike,Grocery Store,8,2.8
Hamilton and Sons,Dairy,7.95,East Tonyville,2024-06-11,Truck,Food Bank,9,1.4
Johnson LLC,Grains,93.67,Allenchester,2024-08-16,Bike,Restaurant,2,1.3
Flores PLC,Meat,17.14,New Briana,2024-07-27,Walk,Grocery Store,7,2.2
"Elliott, Bray and Bowman",Meat,31.37,Cassandraville,2024-10-29,Drone,Food Bank,9,2.8
"Harris, Porter and Grant",Meat,71.2,Nelsonbury,2024-10-26,Truck,Grocery Store,8,0.5
Kelley-Nguyen,Dairy,48.52,Ericmouth,2024-08-18,Walk,Farm,4,1.5
"Galvan, Anderson and Hernandez",Canned Goods,99.12,North Adamhaven,2024-07-20,Walk,Supermarket,8,2.1
"Smith, Landry and Bowman",Dairy,25.48,South Michaeltown,2024-05-12,Truck,Supermarket,7,2.6
Ruiz PLC,Dairy,64.25,Antoniochester,2024-05-21,Truck,Farm,4,2.0
Lambert Ltd,Vegetables,97.82,North Annton,2023-12-17,Drone,Supermarket,3,0.8
"Bryant, Taylor and Nelson",Canned Goods,96.77,Burnsfurt,2023-12-16,Truck,Farm,5,2.6
"Mora, Fisher and Chambers",Bakery,13.5,Port Francestown,2024-03-31,Drone,Grocery Store,6,1.4
Keith and Sons,Bakery,93.23,East Michelle,2024-01-13,Truck,Restaurant,3,1.6
Hubbard-Jenkins,Bakery,77.98,South Brittanymouth,2024-08-01,Walk,Food Bank,5,1.9
Gamble-Jones,Meat,92.67,Rebeccafurt,2024-05-15,Truck,Food Bank,1,2.7
"Sullivan, Johnson and Tran",Fruits,16.1,South Jefferybury,2024-07-26,Drone,Supermarket,7,2.1
"Payne, Mitchell and Blanchard",Dairy,92.71,South Kelly,2024-06-08,Van,Grocery Store,3,0.7
Brown LLC,Fruits,33.53,New Angela,2024-02-14,Bike,Supermarket,3,0.8
Smith PLC,Fruits,67.67,Port Elizabethbury,2024-06-01,Bike,Restaurant,9,3.0
Hubbard and Sons,Dairy,84.71,Stevenland,2024-02-10,Van,Restaurant,1,2.7
Owen-Parker,Grains,41.9,Lake Hollymouth,2024-02-13,Walk,Restaurant,5,2.8
"Thompson, King and Martin",Vegetables,30.74,Brownville,2024-07-05,Walk,Restaurant,7,0.6
"Grimes, Odom and Smith",Dairy,90.6,East Josephport,2024-10-21,Drone,Grocery Store,1,2.0
"Webb, Wilson and Stanley",Frozen Food,66.4,South Lisa,2024-06-20,Drone,Farm,6,0.7
Garcia LLC,Frozen Food,20.91,Amyville,2024-04-21,Van,Supermarket,9,2.2
Russell Group,Snacks,49.08,Nelsonstad,2023-12-20,Bike,Grocery Store,2,2.5
"Morris, Flores and Davis",Bakery,64.94,Deleonborough,2024-04-26,Truck,Restaurant,1,2.5
Banks Ltd,Snacks,45.41,Port Randymouth,2024-01-04,Drone,Restaurant,5,2.3
Crawford Group,Canned Goods,6.56,Port Samuelmouth,2024-02-26,Truck,Farm,8,0.9
Smith-Chambers,Grains,64.37,Bryanchester,2023-12-20,Bike,Grocery Store,9,2.0
Kennedy LLC,Bakery,77.76,Port Frankland,2024-06-18,Van,Farm,5,2.9
Rowland Group,Snacks,27.46,Penaville,2024-08-12,Bike,Farm,1,0.9
"Jones, Williams and Dean",Snacks,85.7,North Josephton,2024-11-07,Walk,Supermarket,7,0.9
"Clark, Davis and Barr",Frozen Food,27.52,Christinaport,2024-08-14,Walk,Supermarket,2,1.3
Wright-Rowe,Grains,31.41,North Eric,2024-10-09,Walk,Restaurant,1,2.2
"Hunt, Wilkerson and Brown",Canned Goods,60.73,South Briantown,2024-05-14,Walk,Grocery Store,3,0.5
Manning PLC,Fruits,38.46,Zacharyberg,2024-04-06,Bike,Grocery Store,3,1.6
"Miller, Fitzpatrick and Rodriguez",Grains,78.34,Joshuaside,2024-04-18,Truck,Restaurant,6,0.6
Dean-Kim,Dairy,6.67,Port Valerieville,2023-11-24,Van,Food Bank,8,1.5
Lewis-Williams,Fruits,71.7,Duncanland,2024-05-12,Bike,Restaurant,9,1.0
Wheeler-Thornton,Frozen Food,76.81,New Johnnyborough,2024-09-09,Truck,Restaurant,5,1.8
"Clark, Reyes and Jackson",Meat,12.76,Ronaldside,2024-08-02,Bike,Supermarket,7,0.7
Fields Group,Fruits,66.53,Martinside,2024-03-30,Walk,Farm,8,1.2
Miller-Cook,Canned Goods,83.25,North Nicholas,2024-10-07,Bike,Farm,2,0.5
Wilson LLC,Dairy,74.19,Lake Kevinland,2024-06-26,Van,Farm,2,2.9
Howell-Parrish,Bakery,80.52,Kathryntown,2024-07-04,Van,Grocery Store,8,2.3
Rosario and Sons,Frozen Food,99.4,Port Veronica,2024-03-03,Truck,Restaurant,3,2.1
"Davis, Martin and Medina",Bakery,97.79,Lake Jeremyfort,2024-04-06,Bike,Restaurant,7,0.8
Harris and Sons,Bakery,53.2,East Chadbury,2023-11-20,Bike,Food Bank,1,1.3
"Banks, Rhodes and Vincent",Meat,12.99,South Christopher,2024-06-11,Bike,Food Bank,6,2.6
Hanson-Harris,Fruits,9.13,West Davidshire,2024-03-03,Walk,Food Bank,5,2.7
Stout-Bowman,Frozen Food,15.75,Port Annbury,2024-10-10,Van,Restaurant,4,2.5
Hall LLC,Meat,60.48,Lake Rachel,2024-10-14,Van,Restaurant,3,2.0
"Fitzpatrick, Smith and Lucas",Bakery,48.46,Lake Laurenhaven,2024-10-29,Bike,Grocery Store,4,2.9
Long and Sons,Snacks,41.88,Josephhaven,2024-08-19,Walk,Restaurant,1,1.3
Warner and Sons,Grains,86.77,Gilbertshire,2024-03-02,Bike,Restaurant,9,1.4
Brown LLC,Meat,75.33,Campbellfort,2024-03-08,Truck,Restaurant,4,2.1
Byrd-Munoz,Vegetables,6.47,Jeanland,2024-04-23,Bike,Grocery Store,4,2.8
Anderson-Bailey,Snacks,71.18,Lake Williamville,2024-04-05,Van,Grocery Store,3,0.7
"Brown, Atkinson and Mendoza",Dairy,24.05,North Hollymouth,2024-06-27,Bike,Supermarket,9,1.7
"Thompson, Tran and Michael",Dairy,31.25,Rubenborough,2023-11-29,Truck,Grocery Store,6,2.8
Conner-Davis,Grains,39.09,Tylerside,2023-11-24,Van,Restaurant,7,1.2
Russell-Yates,Canned Goods,95.23,Mooreburgh,2024-02-18,Walk,Farm,7,0.9
Brown Inc,Bakery,31.71,Brendanfurt,2024-06-03,Bike,Food Bank,3,2.6
"Chase, Walker and Dalton",Meat,20.68,East Erin,2023-12-07,Drone,Farm,9,1.0
Edwards and Sons,Snacks,19.86,Port Kellyfort,2024-06-05,Drone,Restaurant,6,2.4
Davis and Sons,Vegetables,44.11,North Jose,2024-10-23,Bike,Farm,1,1.5
Jackson-Torres,Vegetables,22.35,East Nicholasburgh,2024-10-08,Drone,Food Bank,2,1.3
"Fitzgerald, Rhodes and Nguyen",Canned Goods,11.54,New Melissashire,2024-03-02,Truck,Supermarket,5,1.2
"West, Morrison and Hernandez",Snacks,34.88,Smithstad,2024-07-11,Walk,Grocery Store,7,1.7
Fisher-Eaton,Vegetables,59.88,Joelstad,2023-12-08,Bike,Farm,8,2.3
Cohen-Williams,Grains,52.1,Ramoschester,2023-12-05,Van,Farm,9,0.6
Oliver LLC,Bakery,20.51,Patrickshire,2024-07-05,Truck,Restaurant,5,1.5
"Martinez, Howell and Davis",Bakery,65.56,West Jasonfort,2023-12-22,Walk,Food Bank,1,2.5
Bradley-Jordan,Meat,27.01,West Rachelshire,2024-02-12,Truck,Grocery Store,1,2.1
Benson-Adams,Meat,25.62,Thomasville,2024-05-24,Walk,Supermarket,9,1.2
Barnes-Thomas,Bakery,51.8,Laurenville,2023-12-14,Drone,Grocery Store,1,0.7
"Bailey, Moore and Cortez",Dairy,35.52,Milesbury,2023-12-12,Truck,Supermarket,6,2.4
Glover-Hammond,Fruits,59.03,Christystad,2024-04-02,Bike,Restaurant,8,1.0
Hamilton Ltd,Vegetables,86.4,Lake Emilyburgh,2024-07-04,Bike,Grocery Store,3,1.7
"Jenkins, Cannon and Woods",Fruits,87.78,Ayersfort,2024-08-12,Walk,Farm,7,1.0
Martinez Ltd,Grains,40.81,Rodriguezland,2024-05-07,Walk,Food Bank,4,1.9
Wolfe and Sons,Meat,89.54,North Michael,2024-04-23,Van,Supermarket,8,1.0
Young Ltd,Canned Goods,68.74,Calhounland,2024-05-14,Van,Restaurant,7,2.3
Lewis PLC,Frozen Food,77.6,Toddbury,2024-08-14,Walk,Farm,8,0.7
Murphy-Cooper,Fruits,34.82,South Bradley,2023-12-17,Walk,Grocery Store,3,2.0
Mercado Inc,Canned Goods,26.49,Garciachester,2024-06-15,Walk,Farm,1,2.7
"Livingston, Carlson and Barajas",Snacks,83.37,New Helen,2024-02-28,Truck,Grocery Store,9,1.0
Terry LLC,Meat,47.45,South Taramouth,2024-09-27,Van,Farm,8,0.9
Mullins PLC,Canned Goods,28.66,Sullivanchester,2024-03-23,Truck,Farm,4,1.3
Park LLC,Snacks,22.91,Port Kellyland,2023-11-25,Truck,Farm,8,2.0
Garcia and Sons,Snacks,17.57,Lake Alyssaburgh,2023-12-14,Walk,Supermarket,9,0.9
Shaffer and Sons,Fruits,43.8,Richardport,2024-03-01,Van,Farm,6,2.9
"Carter, Gray and Lucas",Snacks,20.34,Christineshire,2024-05-31,Walk,Supermarket,7,1.2
"Greene, Rush and Mccullough",Vegetables,12.84,West Jonathan,2024-08-31,Drone,Supermarket,6,1.2
Ferguson-Garcia,Grains,71.16,Campbellborough,2024-01-27,Drone,Farm,9,2.1
"Barnes, Coleman and Vargas",Meat,67.74,Lake Alexis,2024-01-07,Van,Restaurant,4,0.8
Cruz-Ramos,Dairy,72.47,Amandabury,2024-02-01,Bike,Food Bank,9,0.5
Ballard LLC,Grains,63.39,Lake Lisaton,2024-03-10,Walk,Supermarket,7,1.7
Gonzalez-Combs,Canned Goods,70.93,West Richardhaven,2024-02-12,Bike,Restaurant,2,0.9
Douglas Ltd,Frozen Food,30.64,Lake Shannonborough,2024-08-02,Van,Supermarket,3,1.0
James-Singleton,Dairy,85.68,Rebeccafort,2024-08-13,Walk,Farm,7,1.8
Campos-Marshall,Fruits,77.75,Wagnerhaven,2024-05-08,Bike,Supermarket,9,1.8
"Dunlap, Schmidt and Bauer",Canned Goods,52.45,South Mary,2024-11-09,Truck,Supermarket,9,1.5
Cooper-Anderson,Fruits,82.12,Barbaraton,2024-09-20,Van,Supermarket,9,2.9
"Gonzalez, Turner and Hernandez",Canned Goods,84.42,Soniaview,2024-09-22,Drone,Grocery Store,6,0.8
"Copeland, Schultz and Smith",Meat,17.42,Alanfort,2024-07-06,Bike,Farm,1,1.2
Thomas-Evans,Snacks,10.14,West Christopherview,2024-03-10,Bike,Restaurant,3,2.7
"Hamilton, Sanchez and Colon",Grains,59.52,Reeseview,2024-01-13,Bike,Restaurant,5,1.9
Diaz-Long,Fruits,52.66,Fisherfurt,2024-10-04,Van,Restaurant,9,1.1
Adams-Oneal,Vegetables,43.53,East Cassandra,2023-12-03,Walk,Grocery Store,8,2.2
Howard-Cobb,Fruits,47.34,North Deborah,2023-11-23,Walk,Farm,8,0.6
"Smith, Vincent and Morris",Canned Goods,10.5,Lake Jennifermouth,2024-08-28,Drone,Food Bank,8,1.1
"Smith, Pierce and Woods",Meat,9.37,Austinhaven,2023-12-16,Walk,Grocery Store,4,1.0
Robinson PLC,Fruits,60.14,East Kellybury,2024-04-25,Drone,Restaurant,8,1.1
"Daniels, Hernandez and Hardin",Dairy,24.01,New Andrewview,2024-01-10,Truck,Food Bank,6,2.3
"Christian, Jordan and Hernandez",Snacks,65.64,Jimmystad,2024-06-14,Bike,Grocery Store,8,1.9
"Brown, Walters and Logan",Grains,67.38,Boydbury,2024-04-02,Van,Farm,9,1.6
"Tucker, Miller and Smith",Vegetables,6.73,Kimberlyton,2024-08-03,Walk,Grocery Store,7,0.5
Wilkinson Ltd,Snacks,28.26,North Sydney,2024-04-14,Drone,Food Bank,3,0.5
Jones-Hanson,Meat,68.29,Lake Brandi,2024-01-23,Van,Supermarket,8,0.5
"Jones, Bell and White",Frozen Food,52.15,Lake Natashaborough,2024-04-23,Walk,Food Bank,7,1.1
Foster-Gutierrez,Fruits,13.27,Anthonybury,2024-06-13,Walk,Grocery Store,6,2.4
Dixon-Reyes,Vegetables,93.08,Tyronebury,2024-02-25,Van,Grocery Store,3,2.1
"Lopez, Lopez and Walker",Meat,27.67,South Savannah,2024-07-09,Drone,Farm,3,2.0
Vasquez-Young,Vegetables,41.71,New Amanda,2024-11-08,Bike,Farm,7,0.7
Glover-Wilkins,Dairy,8.44,Lake James,2024-01-05,Drone,Restaurant,8,2.3
Silva-Smith,Dairy,90.86,North Amy,2024-04-16,Bike,Farm,7,0.6
Hernandez-Martinez,Bakery,33.27,Debbieton,2024-06-14,Van,Supermarket,7,1.5
Coleman Inc,Dairy,17.68,Valentinebury,2024-10-13,Walk,Farm,7,1.5
Lopez LLC,Canned Goods,19.93,South Christineton,2024-01-12,Walk,Supermarket,8,1.7
Riley Group,Fruits,58.22,South Stephaniemouth,2024-07-14,Van,Farm,9,0.9
"Adams, Russell and Hill",Dairy,94.07,Mejiafort,2024-03-10,Bike,Supermarket,6,2.8
Mitchell Inc,Canned Goods,58.37,South Matthewport,2024-08-31,Truck,Grocery Store,4,1.8
Campbell Inc,Canned Goods,55.26,Jordantown,2024-08-26,Drone,Food Bank,3,1.5
"Briggs, Williams and Matthews",Grains,13.22,Nicholasland,2024-01-23,Truck,Restaurant,5,2.7
Wright-Gutierrez,Vegetables,13.27,Chaseland,2024-09-04,Walk,Farm,4,1.2
"Jones, Parrish and Wilson",Snacks,75.39,Grayton,2023-12-31,Walk,Supermarket,6,2.0
Peck Inc,Vegetables,33.8,Millerville,2024-10-22,Walk,Grocery Store,8,1.1
Zuniga Ltd,Fruits,33.62,New Emmaland,2024-08-25,Bike,Supermarket,6,1.0
Morgan-Porter,Fruits,26.32,Knightchester,2024-07-06,Bike,Restaurant,5,2.9
"Manning, Johnson and Kim",Meat,52.96,New Williamburgh,2024-10-03,Walk,Supermarket,2,2.6
Martinez Ltd,Frozen Food,62.33,Coletown,2024-08-14,Bike,Food Bank,4,1.5
Cruz-Garcia,Dairy,79.86,Brandonland,2023-11-27,Bike,Supermarket,7,3.0
Lewis-Escobar,Grains,47.0,New Maureenport,2024-07-19,Walk,Restaurant,7,2.0
"Smith, Weber and Patterson",Canned Goods,98.99,Jamesbury,2024-11-04,Walk,Farm,1,1.3
"Duncan, Berry and Barton",Bakery,27.35,North Steven,2024-01-05,Truck,Grocery Store,3,2.9
Stewart-Christian,Fruits,52.8,West Melanie,2024-08-15,Van,Food Bank,4,2.5
Wright Group,Grains,37.51,New Michaelborough,2024-09-05,Walk,Farm,6,1.2
Tucker Group,Frozen Food,76.03,Conradview,2023-12-24,Drone,Grocery Store,1,2.7
Barrera PLC,Dairy,57.28,South Robert,2023-11-24,Bike,Supermarket,2,1.1
Escobar Group,Frozen Food,35.88,Frankfurt,2024-09-01,Van,Farm,5,1.2
Cook-Ross,Canned Goods,52.65,Wongstad,2024-02-07,Bike,Food Bank,2,0.7
"Sanchez, Williamson and Nunez",Canned Goods,89.3,Reneeberg,2024-04-27,Drone,Restaurant,8,1.2
"Rodriguez, Parker and Jacobs",Fruits,29.9,East Jaclyn,2024-01-31,Walk,Supermarket,2,0.7
Patterson-Boyd,Frozen Food,32.39,East Charles,2023-11-18,Van,Food Bank,1,1.3
"Scott, Bryant and Johnson",Snacks,57.73,North Brandonshire,2024-01-05,Truck,Supermarket,8,1.3
Garrett Group,Vegetables,83.17,Port Micheleland,2024-04-19,Drone,Food Bank,7,1.3
Berry Ltd,Dairy,18.09,Mosesburgh,2024-09-16,Bike,Supermarket,5,1.9
"Stevens, Rodriguez and Owen",Meat,74.1,Gomezbury,2023-12-18,Drone,Grocery Store,2,1.0
Li-Clark,Snacks,68.46,Sherryfort,2024-09-27,Walk,Food Bank,6,1.4
"Acevedo, Wallace and Moon",Meat,11.71,Lake Kimberly,2024-06-25,Bike,Farm,4,2.8
Tate-Holmes,Frozen Food,88.48,New Eric,2024-05-24,Truck,Farm,5,1.3
"Rosario, Fisher and Sparks",Bakery,72.71,Johnport,2024-09-17,Walk,Food Bank,5,2.5
Roberts PLC,Vegetables,12.26,Jessemouth,2023-11-30,Truck,Restaurant,1,2.8
Williams Inc,Bakery,49.53,Obrienmouth,2024-01-20,Bike,Food Bank,6,1.0
"Baldwin, Hoover and Ward",Meat,11.76,Anthonyview,2024-05-13,Bike,Farm,5,2.5
Beltran Ltd,Bakery,93.89,Davidmouth,2024-05-21,Drone,Food Bank,3,1.0
"Holloway, Rivera and Aguilar",Snacks,22.86,Masseyville,2024-03-26,Walk,Farm,2,2.5
"Gonzalez, Stone and Rodriguez",Canned Goods,26.19,New Julie,2024-03-01,Truck,Grocery Store,6,0.8
Alexander PLC,Frozen Food,54.17,Jordanfurt,2023-12-08,Drone,Restaurant,8,1.3
Skinner-Lee,Vegetables,63.71,Port Timborough,2023-12-02,Walk,Supermarket,5,2.5
Walker Ltd,Bakery,66.86,Hodgesberg,2024-07-09,Drone,Grocery Store,6,3.0
"Pratt, Daniel and Williams",Canned Goods,70.98,New Joseph,2024-09-19,Drone,Supermarket,5,2.1
Thomas Inc,Bakery,27.55,Edwardston,2024-10-27,Truck,Restaurant,5,1.2
Gardner-Hawkins,Fruits,54.62,Allenton,2024-10-25,Drone,Farm,8,1.2
Hanson-Roth,Fruits,52.59,Bennetttown,2024-02-11,Walk,Restaurant,4,0.9
"Meyer, Morgan and Robinson",Bakery,82.28,Garciastad,2023-11-26,Drone,Supermarket,5,0.8
"Miller, Jones and Hughes",Vegetables,82.25,Mitchellmouth,2024-06-01,Bike,Grocery Store,2,2.5
Dunn Ltd,Dairy,98.94,West Christopher,2024-11-01,Drone,Farm,7,0.9
"Farley, Smith and Butler",Fruits,45.42,Lake Mason,2024-07-08,Truck,Restaurant,1,2.4
"Kennedy, Jones and Bailey",Meat,75.4,Michelleland,2023-12-01,Truck,Restaurant,8,0.6
Johnson LLC,Vegetables,15.68,North Marychester,2024-07-10,Bike,Farm,6,0.9
Arnold-Pruitt,Meat,54.87,Port Lisaland,2024-09-21,Drone,Grocery Store,8,0.7
Mcconnell-Williams,Vegetables,76.29,Christophertown,2024-02-05,Drone,Grocery Store,3,1.5
Garcia-Reese,Dairy,81.28,North Susan,2023-12-13,Bike,Supermarket,6,1.1
Hicks LLC,Dairy,12.59,Port Crystalville,2024-01-13,Drone,Food Bank,4,1.3
"Yu, Fisher and Cook",Canned Goods,23.05,North Jennyton,2023-11-20,Truck,Restaurant,5,2.7
Munoz Ltd,Bakery,68.1,Joeborough,2024-05-13,Walk,Restaurant,1,0.8
Bennett Group,Vegetables,19.25,Dicksontown,2024-02-27,Truck,Farm,8,1.4
Johnson LLC,Dairy,42.72,Maldonadoberg,2024-02-14,Walk,Grocery Store,6,2.7
Rubio-Watkins,Bakery,21.76,Kennethhaven,2023-11-27,Drone,Supermarket,3,1.8
Duncan-Nelson,Frozen Food,83.62,Stephanieborough,2024-07-04,Drone,Farm,8,2.5
"Chambers, Williams and Haley",Vegetables,92.97,West Michelle,2024-04-18,Bike,Food Bank,9,3.0
Jones-Carson,Snacks,90.07,New Jeffreyborough,2024-06-17,Walk,Farm,8,1.9
"Willis, Hernandez and Powers",Bakery,99.87,North Melinda,2023-11-19,Walk,Farm,3,0.8
"Green, Griffith and David",Canned Goods,98.06,East Richardland,2023-12-27,Van,Supermarket,4,2.3
"Cervantes, Young and English",Bakery,98.08,North Katherine,2023-11-16,Drone,Supermarket,1,1.5
Holmes Ltd,Grains,62.57,Jameston,2024-02-01,Walk,Supermarket,1,0.6
Harris-Thompson,Grains,5.81,Coltonview,2023-12-09,Truck,Grocery Store,8,2.3
Dickerson-Koch,Dairy,40.74,Aprilfort,2024-08-26,Walk,Food Bank,9,1.9
Mcintyre-White,Fruits,57.27,North Dustinberg,2024-02-04,Van,Grocery Store,1,2.3
"Hahn, Murillo and Blevins",Dairy,18.77,Lake Thomasstad,2024-03-06,Bike,Food Bank,8,1.9
Harris LLC,Frozen Food,53.32,North Reginastad,2024-06-28,Bike,Grocery Store,2,1.9
"Welch, Hammond and Williams",Grains,87.5,New Richard,2024-05-09,Drone,Farm,1,1.4
Huff-Murillo,Canned Goods,92.09,South Michelle,2024-09-12,Van,Farm,3,1.0
Kelly-Crawford,Fruits,61.46,East Johnville,2024-01-16,Van,Farm,8,1.4
Barron-Marshall,Bakery,21.22,New Brianton,2024-02-27,Truck,Supermarket,1,2.2
"Anderson, Roberts and Smith",Meat,58.13,Port Kristenport,2024-10-13,Truck,Restaurant,1,0.6
King LLC,Canned Goods,84.76,East Jamesport,2024-02-02,Truck,Restaurant,4,1.8
"Medina, Wood and Young",Canned Goods,94.3,East Wyatt,2024-07-02,Bike,Restaurant,7,1.2
Harper-Jones,Bakery,13.18,Stricklandport,2024-07-31,Truck,Supermarket,4,1.7
Woods-Peck,Dairy,97.25,Lake James,2024-06-28,Truck,Farm,3,1.3
"Carroll, Walker and Parker",Snacks,64.75,Kristopherport,2023-11-19,Truck,Supermarket,7,1.2
Arnold-Rodriguez,Snacks,38.86,New Reneefort,2024-04-16,Truck,Supermarket,3,1.1
Thomas Group,Frozen Food,87.92,Lake Johnport,2024-01-24,Walk,Restaurant,7,1.7
"Rodriguez, Lopez and Rocha",Meat,72.78,New Brian,2024-07-19,Bike,Restaurant,3,1.0
Ray LLC,Vegetables,33.89,Rodriguezhaven,2023-12-02,Bike,Farm,9,2.4
"Ellis, Brown and Garza",Frozen Food,54.14,East Amyton,2023-12-25,Truck,Restaurant,5,2.9
Navarro-Lowery,Bakery,34.43,Jeffreyport,2024-09-24,Truck,Farm,8,2.8
Gordon Ltd,Vegetables,45.62,North Teresa,2024-01-09,Drone,Grocery Store,3,0.9
Irwin PLC,Dairy,54.75,Chaveztown,2024-03-10,Walk,Supermarket,4,1.2
Vincent-Tucker,Fruits,34.71,Lopezburgh,2024-09-02,Truck,Supermarket,8,2.3
Harris-Davis,Canned Goods,31.31,Gregoryhaven,2024-02-13,Bike,Farm,4,2.2
"Howell, Parsons and Smith",Meat,69.93,West Joseshire,2024-07-14,Truck,Farm,1,0.8
Cox-Tyler,Vegetables,31.35,Russellstad,2023-12-23,Walk,Food Bank,5,2.6
Barajas LLC,Frozen Food,80.12,New Kathleenland,2024-01-30,Walk,Farm,8,0.7
"Luna, Williams and Lee",Fruits,80.85,New Kristin,2024-01-24,Bike,Food Bank,8,2.6
Sanchez-Cooper,Canned Goods,98.66,Griffinport,2024-11-14,Bike,Food Bank,1,0.7
"Decker, Bullock and Simpson",Bakery,24.11,New David,2024-07-06,Truck,Food Bank,8,0.8
Anderson PLC,Canned Goods,28.74,Brooksmouth,2024-07-20,Bike,Supermarket,4,2.5
Sanders PLC,Snacks,36.39,Edwardsburgh,2024-03-24,Truck,Grocery Store,5,1.8
Carlson LLC,Dairy,9.47,Chavezstad,2024-08-09,Truck,Supermarket,7,1.4
"Lee, Brown and Atkins",Grains,67.56,North Christopherview,2024-10-08,Drone,Supermarket,5,1.2
Wilkerson-Lewis,Vegetables,79.95,Gilmorestad,2023-12-03,Drone,Food Bank,3,2.1
"Hernandez, Hebert and Torres",Meat,78.73,Hollowayburgh,2024-10-15,Bike,Supermarket,3,2.0
"Robinson, Collins and Cherry",Bakery,94.64,Andrewbury,2024-01-07,Truck,Grocery Store,4,2.5
Stephens and Sons,Snacks,28.52,Carterville,2024-03-12,Bike,Grocery Store,6,1.2
Williamson-Edwards,Frozen Food,34.07,Morganshire,2024-08-15,Truck,Grocery Store,8,2.7
Rodriguez Ltd,Dairy,66.06,Hobury,2024-05-24,Truck,Farm,7,2.0
House-Berg,Canned Goods,8.59,North Rickyshire,2023-11-28,Bike,Supermarket,9,2.6
Murphy-Greene,Vegetables,10.03,Lake Lisa,2024-05-20,Truck,Food Bank,9,2.5
